Player,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Kidd-Gilchrist,81,81,2349,295,618,1,9,294,609,152,194,156,409,565,114,81,77,56,187,743
Sean Kilpatrick,70,24,1754,305,735,105,308,200,427,204,242,22,258,280,157,46,6,136,118,919
Brandon Knight,54,5,1140,209,525,45,139,164,386,132,154,25,93,118,130,27,5,89,87,595
Kosta Koufos,71,62,1419,216,392,0,1,216,391,38,62,118,285,403,47,36,48,61,172,470
Mindaugas Kuzminskas,68,5,1016,158,369,54,168,104,201,55,68,47,79,126,69,29,11,51,79,425
Skal Labissiere,33,12,612,117,218,3,8,114,210,52,74,51,111,162,27,16,13,37,64,289
Jeremy Lamb,62,5,1143,226,491,41,146,185,345,110,129,30,234,264,75,27,23,40,98,603
Nicolas Laprovittola,18,3,174,20,47,10,27,10,20,9,9,1,9,10,28,4,1,19,19,59
Zach LaVine,47,47,1749,326,710,120,310,206,400,117,140,18,141,159,139,41,10,85,104,889
Ty Lawson,69,24,1732,237,522,34,118,203,404,173,217,44,135,179,335,74,6,129,119,681
Jake Layman,35,1,249,26,89,13,51,13,38,13,17,6,18,24,11,9,3,11,22,78
Courtney Lee,77,74,2459,321,704,108,269,213,435,85,98,53,207,260,179,81,23,69,141,835
David Lee,79,10,1477,248,420,0,0,248,420,80,113,148,292,440,124,31,40,82,125,576
Alex Len,77,34,1560,230,463,3,12,227,451,150,208,156,354,510,44,37,98,102,242,613
Kawhi Leonard,74,74,2474,636,1311,147,386,489,925,469,533,80,350,430,260,132,55,154,122,1888
Meyers Leonard,74,12,1222,146,378,74,213,72,165,35,40,27,209,236,71,13,28,35,172,401
Jon Leuer,75,34,1944,310,646,49,167,261,479,98,113,102,300,402,111,31,26,66,145,767
Caris LeVert,57,26,1237,171,380,59,184,112,196,67,93,23,165,188,110,49,8,59,91,468
Damian Lillard,75,75,2694,661,1488,214,578,447,910,488,545,46,322,368,439,68,20,197,152,2024
Jeremy Lin,36,33,883,175,400,58,156,117,244,115,141,11,124,135,184,41,14,86,79,523
Shaun Livingston,76,3,1345,173,316,1,3,172,313,42,60,28,123,151,139,38,20,61,120,389
Shawn Long,18,0,234,61,109,7,19,54,90,19,35,41,44,85,13,9,9,13,49,148
Kevon Looney,53,4,447,56,107,2,9,54,98,21,34,44,80,124,29,14,17,17,64,135
Brook Lopez,75,75,2222,555,1172,134,387,421,785,295,364,121,282,403,176,38,124,184,192,1539
Robin Lopez,81,81,2271,382,775,0,2,382,773,75,104,243,276,519,80,18,117,90,151,839
Kevin Love,60,60,1885,370,867,145,389,225,478,257,295,148,518,666,116,53,22,122,125,1142
Kyle Lowry,60,60,2244,426,918,193,468,233,450,299,365,48,240,288,417,88,19,173,170,1344
John Lucas III,5,0,11,1,4,0,1,1,3,0,0,0,0,0,1,2,0,0,0,2
Timothe Luwawu-Cabarrot,69,19,1190,145,361,50,161,95,200,105,123,25,124,149,75,32,10,73,154,445
Trey Lyles,71,4,1158,159,439,65,204,94,235,57,79,48,187,235,70,26,20,64,97,440
Shelvin Mack,55,9,1205,170,381,37,120,133,261,53,77,20,108,128,154,42,3,90,100,430
Ian Mahinmi,31,0,555,65,111,0,0,65,111,43,75,47,103,150,19,33,24,34,90,173
Thon Maker,57,34,562,83,181,28,74,55,107,32,49,40,74,114,23,10,26,17,84,226
Boban Marjanovic,35,0,293,72,132,0,0,72,132,47,58,46,84,130,9,6,12,10,25,191
Jarell Martin,42,3,558,58,151,9,25,49,126,40,50,42,120,162,8,17,9,28,91,165
Wesley Matthews,73,73,2495,333,847,174,479,159,368,146,179,18,241,259,210,77,16,102,161,986
Luc Mbah a Moute,80,76,1787,191,378,43,110,148,268,59,87,47,127,174,39,81,35,47,122,484
James Michael McAdoo,52,2,457,62,117,2,8,60,109,21,42,34,56,90,17,18,29,19,47,147
Patrick McCaw,71,20,1074,106,245,41,123,65,122,29,37,22,79,101,77,32,15,36,62,282
Sheldon McClellan,30,3,287,30,75,7,30,23,45,23,27,4,30,34,15,8,2,5,17,90
C.J. McCollum,80,80,2796,692,1441,185,440,507,1001,268,294,60,231,291,285,72,42,172,202,1837
T.J. McConnell,81,51,2133,236,512,11,55,225,457,73,90,39,212,251,534,134,10,159,139,556
